title,price,location,link,year,brand,model
"DFSK Glory Auto I 2022
56,000 km
Colombo, Cars
Rs 9,700,000
2 minutes",9700000,"DFSK Glory Auto I 2022
56,000 km
Colombo, Cars
Rs 9,700,000
2 minutes",https://ikman.lk/en/ad/dfsk-glory-auto-i-2022-for-sale-colombo-3,2022,Other,Unknown
"Toyota Sprinter 1999
180,000 km
Colombo, Cars
Rs 3,870,000
2 minutes",3870000,"Toyota Sprinter 1999
180,000 km
Colombo, Cars
Rs 3,870,000
2 minutes",https://ikman.lk/en/ad/toyota-sprinter-1999-for-sale-colombo-14,1999,Toyota,Sprinter
"Renault KWID RXT 2016
60,900 km
Colombo, Cars
Rs 2,800,000
2 minutes",2800000,"Renault KWID RXT 2016
60,900 km
Colombo, Cars
Rs 2,800,000
2 minutes",https://ikman.lk/en/ad/renault-kwid-rxt-2016-for-sale-colombo-375,2016,Other,Unknown
"Toyota Roomy M900A - X SDDD -A1 2023
80,000 km
MEMBER
Colombo, Cars
Rs 7,500,000
4 minutes",7500000,"Toyota Roomy M900A - X SDDD -A1 2023
80,000 km
MEMBER
Colombo, Cars
Rs 7,500,000
4 minutes",https://ikman.lk/en/ad/toyota-roomy-m900a-x-sddd-a1-2023-for-sale-colombo-1,2023,Toyota,Roomy
"Honda Vezel RU 3 Z Grade 2016
129,000 km
Kurunegala, Cars
Rs 10,500,000
5 minutes",10500000,"Honda Vezel RU 3 Z Grade 2016
129,000 km
Kurunegala, Cars
Rs 10,500,000
5 minutes",https://ikman.lk/en/ad/honda-vezel-ru-3-z-grade-2016-for-sale-kurunegala,2016,Honda,Vezel
"Toyota Land Cruiser Sahara V8 200 2009
178,000 km
Colombo, Cars
Rs 33,450,000
5 minutes",33450000,"Toyota Land Cruiser Sahara V8 200 2009
178,000 km
Colombo, Cars
Rs 33,450,000
5 minutes",https://ikman.lk/en/ad/toyota-land-cruiser-sahara-v8-200-2009-for-sale-colombo,2009,Toyota,Land
"Daihatsu Taft G CHROME VENTURE 2024
0 km
MEMBER
Kandy, Cars
Rs 7,975,000
9 minutes",7975000,"Daihatsu Taft G CHROME VENTURE 2024
0 km
MEMBER
Kandy, Cars
Rs 7,975,000
9 minutes",https://ikman.lk/en/ad/daihatsu-taft-g-chrome-venture-2024-for-sale-kandy-6,2024,Other,Unknown
"Honda Civic 1985
150,000 km
Colombo, Cars
Rs 1,000,000
10 minutes",1000000,"Honda Civic 1985
150,000 km
Colombo, Cars
Rs 1,000,000
10 minutes",https://ikman.lk/en/ad/honda-civic-1985-for-sale-colombo-383,1985,Honda,Civic
"Toyota Yaris Cross X Grade Hybrid; 2025
100 km
MEMBER
Colombo, Cars
Rs 15,975,000
10 minutes",15975000,"Toyota Yaris Cross X Grade Hybrid; 2025
100 km
MEMBER
Colombo, Cars
Rs 15,975,000
10 minutes",https://ikman.lk/en/ad/toyota-yaris-cross-x-grade-hybrid-2025-for-sale-colombo-3,2025,Toyota,Yaris
"Toyota Raize G 2025
5,500 km
Kurunegala, Cars
Rs 11,790,000
15 minutes",11790000,"Toyota Raize G 2025
5,500 km
Kurunegala, Cars
Rs 11,790,000
15 minutes",https://ikman.lk/en/ad/toyota-raize-g-2025-for-sale-kurunegala,2025,Toyota,Raize
