title,price,location,link
"DFSK Glory Auto I 2022
56,000 km
Colombo, Cars
Rs 9,700,000
2 minutes","Rs 9,700,000","DFSK Glory Auto I 2022
56,000 km
Colombo, Cars
Rs 9,700,000
2 minutes",https://ikman.lk/en/ad/dfsk-glory-auto-i-2022-for-sale-colombo-3
"Toyota Sprinter 1999
180,000 km
Colombo, Cars
Rs 3,870,000
2 minutes","Rs 3,870,000","Toyota Sprinter 1999
180,000 km
Colombo, Cars
Rs 3,870,000
2 minutes",https://ikman.lk/en/ad/toyota-sprinter-1999-for-sale-colombo-14
"Renault KWID RXT 2016
60,900 km
Colombo, Cars
Rs 2,800,000
2 minutes","Rs 2,800,000","Renault KWID RXT 2016
60,900 km
Colombo, Cars
Rs 2,800,000
2 minutes",https://ikman.lk/en/ad/renault-kwid-rxt-2016-for-sale-colombo-375
"Toyota Roomy M900A - X SDDD -A1 2023
80,000 km
MEMBER
Colombo, Cars
Rs 7,500,000
4 minutes","Rs 7,500,000","Toyota Roomy M900A - X SDDD -A1 2023
80,000 km
MEMBER
Colombo, Cars
Rs 7,500,000
4 minutes",https://ikman.lk/en/ad/toyota-roomy-m900a-x-sddd-a1-2023-for-sale-colombo-1
"Honda Vezel RU 3 Z Grade 2016
129,000 km
Kurunegala, Cars
Rs 10,500,000
5 minutes","Rs 10,500,000","Honda Vezel RU 3 Z Grade 2016
129,000 km
Kurunegala, Cars
Rs 10,500,000
5 minutes",https://ikman.lk/en/ad/honda-vezel-ru-3-z-grade-2016-for-sale-kurunegala
"Toyota Land Cruiser Sahara V8 200 2009
178,000 km
Colombo, Cars
Rs 33,450,000
5 minutes","Rs 33,450,000","Toyota Land Cruiser Sahara V8 200 2009
178,000 km
Colombo, Cars
Rs 33,450,000
5 minutes",https://ikman.lk/en/ad/toyota-land-cruiser-sahara-v8-200-2009-for-sale-colombo
"Daihatsu Taft G CHROME VENTURE 2024
0 km
MEMBER
Kandy, Cars
Rs 7,975,000
9 minutes","Rs 7,975,000","Daihatsu Taft G CHROME VENTURE 2024
0 km
MEMBER
Kandy, Cars
Rs 7,975,000
9 minutes",https://ikman.lk/en/ad/daihatsu-taft-g-chrome-venture-2024-for-sale-kandy-6
"Honda Civic 1985
150,000 km
Colombo, Cars
Rs 1,000,000
10 minutes","Rs 1,000,000","Honda Civic 1985
150,000 km
Colombo, Cars
Rs 1,000,000
10 minutes",https://ikman.lk/en/ad/honda-civic-1985-for-sale-colombo-383
"Toyota Yaris Cross X Grade Hybrid; 2025
100 km
MEMBER
Colombo, Cars
Rs 15,975,000
10 minutes","Rs 15,975,000","Toyota Yaris Cross X Grade Hybrid; 2025
100 km
MEMBER
Colombo, Cars
Rs 15,975,000
10 minutes",https://ikman.lk/en/ad/toyota-yaris-cross-x-grade-hybrid-2025-for-sale-colombo-3
"Toyota Raize G 2025
5,500 km
Kurunegala, Cars
Rs 11,790,000
15 minutes","Rs 11,790,000","Toyota Raize G 2025
5,500 km
Kurunegala, Cars
Rs 11,790,000
15 minutes",https://ikman.lk/en/ad/toyota-raize-g-2025-for-sale-kurunegala
